id,value
KINDEX 200	,	709198
CJ헬로비전	,	700894
대교	,	698799
무학	,	693975
고려제강	,	689400
LG전자우	,	689158
한라홀딩스	,	687051
한올바이오파마	,	679128
광주은행	,	669675
빙그레	,	666929
NICE	,	664834
KOSEF 200	,	660344
태영건설	,	660096
동아타이어	,	646561
KB캐피탈	,	644764
한화투자증권	,	642348
삼성화재우	,	622440
ARIRANG 200	,	612772
세아홀딩스	,	610000
JW홀딩스	,	604083
KODEX 종합채권(AA-이상)액티브	,	593838
신세계푸드	,	592489
용평리조트	,	589633
신도리코	,	577586
농심홀딩스	,	575086
엔에스쇼핑	,	571147
세아제강	,	570600
세방전지	,	558600
SK디앤디	,	549270
해태제과식품	,	548852
남양유업	,	548640
한국콜마홀딩스	,	546015
한미반도체	,	542991
동양	,	537039
화승인더	,	534391
남해화학	,	534048
덴티움	,	533518
경동나비엔	,	533148
송원산업	,	528000
대덕전자	,	527000
한국쉘석유	,	521950
신영증권	,	516243
풀무원	,	516132
SK증권	,	515389
파워 200	,	504030
애경유화	,	503028
삼천리	,	490658
SBS	,	490082
현대에이치씨엔	,	485369
신세계인터내셔날	,	484092
한진중공업	,	483069
팜스코	,	479300
화승엔터프라이즈	,	475305
아이마켓코리아	,	472655
씨에스윈드	,	471900
KODEX 200선물인버스2X	,	468188
광동제약	,	460255
넥센	,	459448
삼진제약	,	458700
STX엔진	,	457877
한솔제지	,	456971
E1	,	450016
한화3우B	,	449440
KBSTAR 단기통안채	,	447854
보령제약	,	447304
에이블씨엔씨	,	444228
F&F	,	436590
한진	,	435279
아주캐피탈	,	434471
유니드	,	430268
부산가스	,	429000
경방	,	427678
풍산홀딩스	,	427017
STX	,	426019
한세예스24홀딩스	,	424000
서울가스	,	421000
일동제약	,	417122
교보증권	,	414000
현대리바트	,	412553
SBS미디어홀딩스	,	410595
한국철강	,	409845
서흥	,	409547
광주신세계	,	403200
금호산업	,	401515
롯데손해보험	,	401497
서연이화	,	401372
사조산업	,	400500
아모레G우	,	400158
코리아써키트	,	398010
대상홀딩스	,	396527
제이준코스메틱	,	394427
유진투자증권	,	393278
코리아오토글라스	,	393000
자화전자	,	390220
신성이엔지	,	387506
HMC투자증권	,	387250
대덕GDS	,	385793
종근당홀딩스	,	384256
일성신약	,	383040
TIGER 경기방어	,	382009
한솔테크닉스	,	380290
삼양식품	,	375144
롯데관광개발	,	373147
이연제약	,	372810
삼익THK	,	372750
우리종금	,	372250
퍼시스	,	370875
토니모리	,	361620
조선내화	,	361600
맵스리얼티1	,	360197
대원제약	,	358603
모토닉	,	354750
신영증권우	,	351630
AJ네트웍스	,	347890
흥국화재	,	347553
율촌화학	,	343480
환인제약	,	339451
신풍제약	,	333805
알보젠코리아	,	331429
알루코	,	327906
유나이티드제약	,	327388
진흥기업	,	326888
두산우	,	326861
한독	,	326187
동부제철	,	325002
미원에스씨	,	324730
에이프로젠제약	,	320298
S&T중공업	,	319214
삼영무역	,	317806
대한제강	,	315478
대한제분	,	315185
한국유리	,	314485
경보제약	,	313180
동성코퍼레이션	,	312661
선진	,	310940
동부건설	,	310349
삼호	,	306631
해성디에스	,	306000
KPX케미칼	,	305888
S-Oil우	,	304862
현대시멘트	,	303330
한솔홀딩스	,	303194
삼광글라스	,	302916
국도화학	,	300409
세방	,	298319
무림P&P	,	297497
코라오홀딩스	,	295834
두산엔진	,	293985
코오롱플라스틱	,	292600
IHQ	,	292137
대원강업	,	292020
한국카본	,	288822
웅진씽크빅	,	287009
일신방직	,	285600
한국화장품	,	283600
아세아시멘트	,	282451
S&T홀딩스	,	280984
코스맥스비티아이	,	280915
KPX홀딩스	,	280516
아이콘트롤스	,	277351
티웨이홀딩스	,	276375
삼영전자	,	276000
AJ렌터카	,	275721
벽산	,	273554
일진홀딩스	,	271905
현대상사	,	269871
하이트진로홀딩스	,	269198
KISCO홀딩스	,	268647
휴비스	,	268065
JW생명과학	,	264437
현대차3우B	,	263939
GS글로벌	,	262457
조광피혁	,	260646
강남제비스코	,	257725
부국증권	,	257692
아세아	,	254159
현대EP	,	252010
대신증권우	,	251420
서연	,	251234
파미셀	,	251155
KBSTAR 단기국공채액티브	,	250088
KBSTAR 중장기국공채액티브	,	249888
KODEX 코스닥 150	,	247507
제이에스코퍼레이션	,	246382
STX중공업	,	244680
TIGER 중국소비테마	,	242573
이수화학	,	241392
크라운해태홀딩스	,	241197
한국주철관	,	239405
LS네트웍스	,	238773
대한제당	,	237354
신라교역	,	236000
NPC	,	235742
신한 레버리지 WTI원유 선물 ETN(H)	,	235625
동화약품	,	234904
크라운제과	,	232317
포스코강판	,	232200
SG세계물산	,	230764
예스코	,	230100
BYC	,	229234
CJ제일제당 우	,	228318
일진디스플	,	227365
유수홀딩스	,	226564
한국금융지주우	,	225836
KTB투자증권	,	225273
카프로	,	224800
디아이씨	,	223850
코오롱글로벌	,	223696
아남전자	,	221348
백산	,	220462
화승알앤에이	,	219831
TBH글로벌	,	218997
대림씨엔에스	,	218989
KSS해운	,	218875
화신	,	218602
두산건설	,	218168
TIGER 차이나CSI300레버리지(합성)	,	218123
성창기업지주	,	216579
한신공영	,	215526
오리엔트바이오	,	213978
세이브존I&C	,	211771
삼화페인트	,	210671
모나리자	,	210285
한화갤러리아타임월드	,	208805
유니퀘스트	,	208284
흥아해운	,	206896
삼화콘덴서	,	206341
디와이	,	205030
유양디앤유	,	204763
현대비앤지스틸	,	203564
TIGER 200 IT	,	203456
CJ우	,	201838
쌍방울	,	201434
효성ITX	,	201113
핸즈코퍼레이션	,	200923
깨끗한나라	,	200706
삼익악기	,	199621
태평양물산	,	199312
LS전선아시아	,	197530
SG충방	,	197257
태림포장	,	195424
미원상사	,	195058
노루홀딩스	,	194680
TIGER 원유선물Enhanced(H)	,	194625
세아특수강	,	194111
DRB동일	,	193800
TIGER 헬스케어	,	191848
이수페타시스	,	190866
화성산업	,	190497
한국패러랠	,	189647
SH에너지화학	,	188372
세원정공	,	188000
금강공업	,	187926
진양홀딩스	,	187808
세원셀론텍	,	187233
디와이파워	,	186605
비상교육	,	186503
대동공업	,	183656
동부증권	,	183581
아세아제지	,	183160
세종공업	,	182295
디피씨	,	181092
유화증권	,	180314
조흥	,	180300
제주은행	,	180128
일동홀딩스	,	179909
NH투자증권우	,	179463
경인양행	,	179360
TIGER 200선물인버스2X	,	178338
동일산업	,	178011
퍼스텍	,	176771
웅진에너지	,	176717
대성에너지	,	176550
한라	,	175723
미래산업	,	175368
이월드	,	175137
계양전기	,	175062
성신양회	,	173581
사조대림	,	173155
샘표식품	,	173138
미원홀딩스	,	172165
도화엔지니어링	,	171298
ARIRANG 단기우량채권	,	171224
일진전기	,	170570
호전실업	,	170400
지투알	,	168988
웅진	,	168611
엠케이트렌드	,	168467
노루페인트	,	167400
KG케미칼	,	164972
계룡건설	,	162989
진원생명과학	,	162474
디씨엠	,	162045
한진중공업홀딩스	,	161233
KR모터스	,	160707
세진중공업	,	160014
명문제약	,	158904
경동도시가스	,	158535
LG우	,	158276
삼성전기우	,	157559
삼양통상	,	156000
태경산업	,	155205
ARIRANG 단기유동성	,	155175
인스코비	,	154390
휴니드	,	153159
신성통상	,	153049
신영와코루	,	153000
KODEX 코스닥150 레버리지	,	152540
삼성물산우B	,	152491
삼원강재	,	151600
상신브레이크	,	151374
대성홀딩스	,	151241
미창석유	,	151177
사조오양	,	150764
새론오토모티브	,	149952
한전산업	,	149634
동아지질	,	149500
KC그린홀딩스	,	149417
미원화학	,	149112
남선알미늄	,	148742
삼성제약	,	148529
한국제지	,	148397
대한화섬	,	148072
ARIRANG 고배당주	,	146949
고려개발	,	145463
TIGER 차이나CSI300	,	143264
천일고속	,	142779
키위미디어그룹	,	142214
신원	,	141167
대구백화점	,	140140
신일산업	,	139964
동일방직	,	139680
대림B&Co	,	139547
우진플라임	,	139500
대현	,	139243
현대코퍼레이션홀딩스	,	139243
SK이노베이션우	,	139199
KBSTAR 200선물인버스2X	,	138783
파워 단기채	,	138665
성보화학	,	138538
대림산업우	,	138320
신세계 I&C	,	138116
동부	,	137870
SIMPAC	,	137572
광전자	,	137327
코스모화학	,	137283
동양물산	,	136336
한국공항	,	136312
참엔지니어링	,	136256
인천도시가스	,	135180
디아이	,	135121
기신정기	,	134612
백광산업	,	133183
KINDEX 중국본토CSI300	,	132928
신세계건설	,	132800
대유에이텍	,	132297
윌비스	,	132240
영흥철강	,	132173
한신기계	,	131731
한솔홈데코	,	131321
삼성SDI우	,	131211
에넥스	,	130782
선창산업	,	130493
ARIRANG 우량회사채50 1년	,	130406
조광페인트	,	129920
한국ANKOR유전	,	129887
우신시스템	,	129847
동일고무벨트	,	128928
경농	,	128849
현대약품	,	128660
NI스틸	,	128631
극동유화	,	126925
한국화장품제조	,	126896
화천기공	,	125620
KODEX 코스피	,	124774
사조씨푸드	,	124490
동양철관	,	124313
한미글로벌	,	124296
황금에스티	,	123620
케이티스	,	123025
TIGER 200선물레버리지	,	122500
삼호개발	,	121625
종근당바이오	,	121324
S&TC	,	121147
광명전기	,	121129
CJ씨푸드	,	121087
KODEX 증권	,	120725
KINDEX 중장기국공채액티브	,	119898
대창단조	,	119400
삼정펄프	,	117999
YG PLUS	,	117796
KODEX 선진국MSCI World	,	117500
동양네트웍스	,	116807
신대양제지	,	116657
동아에스텍	,	116578
텔코웨어	,	116432
무림페이퍼	,	116090
코스모신소재	,	114593
동원금속	,	113618
KOSEF 단기자금	,	113478
대원화성	,	111991
일신석재	,	111925
조일알미늄	,	111708
대성합동지주	,	111363
삼성 레버리지 인도 Nifty50 선물 ETN(H)	,	111275
유성기업	,	110796
쌍용머티리얼	,	109830
보해양조	,	109608
삼성공조	,	109299
휴스틸	,	108968
금양	,	108911
KODEX 200가치저변동	,	108840
삼화왕관	,	108796
사조동아원	,	108199
성지건설	,	107717
샘표	,	107411
KTcs	,	107353
가온전선	,	107337
삼성 인도 Nifty50 선물 ETN(H)	,	106650
DSR	,	106560
한양증권	,	106283
삼성출판사	,	106000
경동인베스트	,	105544
TIGER 코스닥150	,	104944
대성산업	,	104783
신흥	,	104640
두올	,	104402
대창	,	104356
페이퍼코리아	,	103882
KOSEF 통안채1년	,	103392
대영포장	,	103281
미래에셋대우우	,	102753
지엠비코리아	,	102609
이엔쓰리	,	102429
동양고속	,	102216
롯데칠성우	,	101880
필룩스	,	101318
조선선재	,	101115
골든브릿지증권	,	100386
우진	,	100167
TIGER 인버스	,	100048
TIGER 단기채권액티브	,	100020
KODEX 단기변동금리부채권액티브	,	100015
우성사료	,	99653
대교우B	,	99078
동성화학	,	98673
중국원양자원	,	97859
동방아그로	,	97502
대유플러스	,	97373
우리들제약	,	97080
동성제약	,	96340
KINDEX 단기통안채	,	95900
이건산업	,	95610
마니커	,	95365
SJM	,	95346
SK우	,	95111
